Player,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%
Sebastian Giovinco,F,28,26,2384,13,15,167,51,1,01-Apr,8,5,0.49,7.8
Jonathan Osorio,M,30,30,2603,10,7,33,20,3,0/0,6,4,0.35,30.3
Victor Vazquez,M,21,19,1440,8,9,29,15,1,02-Feb,6,2,0.5,27.6
Jozy Altidore,F,13,12,877,7,1,26,9,2,02-Feb,7,0,0.72,26.9
Lucas Janson,F,11,8,818,4,2,30,17,1,0/0,3,1,0.44,13.3
Jay Chapman,M,22,10,982,3,1,25,9,0,0/0,3,0,0.27,12
Nick Hagglund,D,20,15,1430,3,0,12,6,0,0/0,2,1,0.19,25
Tosaint Ricketts,F,18,4,601,3,0,20,12,0,0/0,1,2,0.45,15
Marky Delgado,M,28,21,1984,2,2,13,5,1,0/0,2,0,0.09,15.4
Jordan Hamilton,F,14,10,862,2,1,26,8,0,0/0,0,2,0.21,7.7
Justin Morrow,D,21,20,1790,1,3,8,5,0,0/0,0,1,0.05,12.5
Ryan Telfer,F,15,9,813,1,1,8,3,1,0/0,1,0,0.11,12.5
Mitchell Taintor,D,1,1,90,1,0,1,1,0,0/0,0,1,1,100
Michael Bradley,M,32,32,2857,0,5,13,3,0,0/0,0,0,0,0
Gregory van der Wiel,D,27,25,2295,0,4,4,1,0,0/0,0,0,0,0
Nicolas Hasler,D,14,11,947,0,3,9,3,0,0/0,0,0,0,0
Auro,D,18,16,1424,0,3,12,2,0,0/0,0,0,0,0
Ayo Akinola,F,4,0,45,0,1,0,0,0,0/0,0,0,0,0
Ashtone Morgan,D,18,11,1009,0,1,2,1,0,0/0,0,0,0,0
Ager Aketxe,M,11,9,732,0,1,26,7,0,0/1,0,0,0,0
Julian Dunn,D,2,1,105,0,0,0,0,0,0/0,0,0,0,0
Alan Mariano Miño,M,1,0,25,0,0,0,0,0,0/0,0,0,0,0
Aidan Daniels,M,1,0,12,0,0,1,0,0,0/0,0,0,0,0
Drew Moor,D,8,6,568,0,0,1,1,0,0/0,0,0,0,0
Jason Hernandez,D,10,7,534,0,0,1,0,0,0/0,0,0,0,0
Chris Mavinga,D,12,11,935,0,0,2,0,0,0/0,0,0,0,0
Jon Bakero,F,3,2,149,0,0,3,0,0,0/0,0,0,0,0
Ben Spencer,F,2,1,82,0,0,4,2,0,0/0,0,0,0,0
Eriq Zavaleta,D,21,16,1488,0,0,4,0,0,0/0,0,0,0,0
Liam Fraser,M,10,7,615,0,0,5,2,0,0/0,0,0,0,0
